EQUIPO,IP,COMANDO,VARIABLE,DATO
COE4MU,181.88.79.87,disp version | inc CX,VERSION,CX600-X16
CCS3MU,181.88.79.118,disp version | inc CX,VERSION,CX600-X8A
MRT3MU,181.88.172.81,disp version | inc CX,VERSION,CX600-X8A
SSJ4MU,181.96.23.193,disp version | inc CX,VERSION,CX600-X16A
EZE1MU,181.88.172.214,disp version | inc CX,VERSION,CX600-X8A
SDE4MU,181.88.79.120,disp version | inc CX,VERSION,CX600-X8A
PTR2MU,181.88.79.114,disp version | inc CX,VERSION,CX600-X8A
ACD4MU,181.88.79.101,disp version | inc CX,VERSION,CX600-X16A
BVD3MU,181.88.79.117,disp version | inc CX,VERSION,CX600-X8A
SLM1MU,181.96.115.63,disp version | inc CX,VERSION,CX600-X8A
ARG4MU,181.88.79.116,disp version | inc CX,VERSION,CX600-X8A
AVN3MU,181.88.79.119,disp version | inc CX,VERSION,CX600-X8A
UND2MU,181.88.79.11,disp version | inc CX,VERSION,CX600-X8A
LAY2MU,181.96.23.181,disp version | inc CX,VERSION,CX600-X8A
VDO2MU,181.89.4.1,disp version | inc CX,VERSION,CX600-X8A
SVC3MU,181.88.79.70,disp version | inc CX,VERSION,CX600-X8A
CCP2MU,181.88.79.68,disp version | inc CX,VERSION,CX600-X8
UNI2MU,181.88.69.158,disp version | inc CX,VERSION,CX600-X8
RES4MU,181.88.69.249,disp version | inc CX,VERSION,CX600-X16
MJU2MU,181.96.23.238,disp version | inc CX,VERSION,CX600-X8A
NEU2MU,181.88.172.199,disp version | inc CX,VERSION,CX600-X8
VIC2MU,181.88.79.137,disp version | inc CX,VERSION,CX600-X8
CSU1MU,181.88.172.134,disp version | inc CX,VERSION,CX600-X8
ESC3MU,181.88.172.164,disp version | inc CX,VERSION,CX600-X8
TLR2MU,181.88.172.135,disp version | inc CX,VERSION,CX600-X8
LOP4MU,181.88.172.213,disp version | inc CX,VERSION,CX600-X16A
SBM2MU,181.88.69.156,disp version | inc CX,VERSION,CX600-X8
FEY2MU,181.88.79.84,disp version | inc CX,VERSION,CX600-X8
KEN2MU,181.88.69.135,disp version | inc CX,VERSION,CX600-X8
VLU2MU,181.88.69.132,disp version | inc CX,VERSION,CX600-X8
RSC4MU,181.88.69.172,disp version | inc CX,VERSION,CX600-X16
JRD2MU,181.88.69.157,disp version | inc CX,VERSION,CX600-X8
BUA3MU,181.88.69.131,disp version | inc CX,VERSION,CX600-X16
LTH2MU,181.88.172.142,disp version | inc CX,VERSION,CX600-X8
SAI2MU,181.88.79.65,disp version | inc CX,VERSION,CX600-X8
VIP3MU,181.88.79.80,disp version | inc CX,VERSION,CX600-X8
MET2MU,181.96.61.7,disp version | inc CX,VERSION,CX600-X8
CVY1MU,181.88.172.177,disp version | inc CX,VERSION,CX600-X8
BBL2MU,181.88.172.158,disp version | inc CX,VERSION,CX600-X8
RES5MU,181.88.79.193,disp version | inc CX,VERSION,CX600-X8
OLB3MU,181.88.172.160,disp version | inc CX,VERSION,CX600-X8
SFS3MU,181.96.23.81,disp version | inc CX,VERSION,CX600-X8
RCU3MU,181.96.23.17,disp version | inc CX,VERSION,CX600-X8
CTM3MU,181.88.79.66,disp version | inc CX,VERSION,CX600-X8
LRI3MU,181.88.79.67,disp version | inc CX,VERSION,CX600-X8
HOR2MU,181.88.172.141,disp version | inc CX,VERSION,CX600-X8
ANA2MU,181.88.79.72,disp version | inc CX,VERSION,CX600-X8
CDI3MU,181.88.69.236,disp version | inc CX,VERSION,CX600-X8
NJU1MU,181.88.172.157,disp version | inc CX,VERSION,CX600-X8
VLD2MU,181.88.79.76,disp version | inc CX,VERSION,CX600-X8
MUS3MU,181.88.79.4,disp version | inc CX,VERSION,CX600-X16
PUE3MU,181.88.172.36,disp version | inc CX,VERSION,CX600-X16
AGU3MU,181.88.172.14,disp version | inc CX,VERSION,CX600-X8
INP3MU,181.88.79.221,disp version | inc CX,VERSION,CX600-X8A
REC3MU,181.88.69.235,disp version | inc CX,VERSION,CX600-X8
UNQ2MU,181.88.79.75,disp version | inc CX,VERSION,CX600-X8
GYU3MU,181.96.23.129,disp version | inc CX,VERSION,CX600-X8
COS3MU,181.88.172.8,disp version | inc CX,VERSION,CX600-X16
NUN3MU,181.88.172.204,disp version | inc CX,VERSION,CX600-X8A
PAR4MU,181.96.23.203,disp version | inc CX,VERSION,CX600-X8
POS4MU,181.88.69.254,disp version | inc CX,VERSION,CX600-X8
CEN5MU,181.88.79.88,disp version | inc CX,VERSION,CX600-X16
FOR3MU,181.88.69.248,disp version | inc CX,VERSION,CX600-X16
RFL1MU,181.88.79.83,disp version | inc CX,VERSION,CX600-X8
TAR2MU,181.96.61.6,disp version | inc CX,VERSION,CX600-X8
BBL3MU,181.88.172.197,disp version | inc CX,VERSION,CX600-X8
ERU2MU,181.96.61.4,disp version | inc CX,VERSION,CX600-X8
CHI2MU,181.88.79.73,disp version | inc CX,VERSION,CX600-X8
OBE3MU,181.88.69.246,disp version | inc CX,VERSION,CX600-X8
CAS4MU,181.88.172.85,disp version | inc CX,VERSION,CX600-X16A
VMI3MU,181.88.79.115,disp version | inc CX,VERSION,CX600-X8
PDL2MU,181.88.69.234,disp version | inc CX,VERSION,CX600-X8
POS3MU,181.88.69.251,disp version | inc CX,VERSION,CX600-X16
RCR1MU,181.96.23.58,disp version | inc CX,VERSION,CX600-X8A
PRS3MU,181.88.69.252,disp version | inc CX,VERSION,CX600-X8
BAR2MU,181.96.23.148,disp version | inc CX,VERSION,CX600-X8A
ORA3MU,181.96.61.5,disp version | inc CX,VERSION,CX600-X8
ELD3MU,181.88.69.250,disp version | inc CX,VERSION,CX600-X8
GLY2MU,181.96.23.134,disp version | inc CX,VERSION,CX600-X8
RIO2MU,181.88.79.74,disp version | inc CX,VERSION,CX600-X8
BLG3MU,181.88.172.7,disp version | inc CX,VERSION,CX600-X16
SDE3MU,181.88.79.69,disp version | inc CX,VERSION,CX600-X8
SEZ1MU,181.88.79.81,disp version | inc CX,VERSION,CX600-X8
BGN3MU,181.96.61.3,disp version | inc CX,VERSION,CX600-X8
LIC2MU,181.88.79.77,disp version | inc CX,VERSION,CX600-X8
GRB3MU,181.96.61.21,disp version | inc CX,VERSION,CX600-X8
SSJ3MU,181.96.61.9,disp version | inc CX,VERSION,CX600-X8
ZAB3MU,181.96.61.12,disp version | inc CX,VERSION,CX600-X8
ALG3MU,181.88.79.78,disp version | inc CX,VERSION,CX600-X8
BEV2MU,181.88.79.86,disp version | inc CX,VERSION,CX600-X8
SPE2MU,181.96.61.8,disp version | inc CX,VERSION,CX600-X8
SFE3MU,181.88.69.170,disp version | inc CX,VERSION,CX600-X8
LAF2MU,181.88.79.85,disp version | inc CX,VERSION,CX600-X8
GOY3MU,181.88.79.194,disp version | inc CX,VERSION,CX600-X8
SLV2MU,181.88.79.82,disp version | inc CX,VERSION,CX600-X8
PLR3MU,181.88.172.23,disp version | inc CX,VERSION,CX600-X16
ALV3MU,181.88.172.212,disp version | inc CX,VERSION,CX600-X16A
RIT3MU,181.96.23.25,disp version | inc CX,VERSION,CX600-X8
AES2MU,181.88.69.174,disp version | inc CX,VERSION,CX600-X8
LDS2MU,181.88.172.140,disp version | inc CX,VERSION,CX600-X8
SPU2MU,181.88.172.150,disp version | inc CX,VERSION,CX600-X8
WHE4MU,181.88.69.253,disp version | inc CX,VERSION,CX600-X8
NOA3MU,181.88.172.202,disp version | inc CX,VERSION,CX600-X8A
CNG1MU,181.88.79.182,disp version | inc CX,VERSION,CX600-X8A
CEN4MU,181.88.69.149,disp version | inc CX,VERSION,CX600-X16
MDP3MU,181.88.172.132,disp version | inc CX,VERSION,CX600-X8
MEZ3MU,181.88.69.150,disp version | inc CX,VERSION,CX600-X8
CTE3MU,181.88.79.199,disp version | inc CX,VERSION,CX600-X16
BEL5MU,181.88.172.181,disp version | inc CX,VERSION,CX600-X16
SFR3MU,181.88.172.75,disp version | inc CX,VERSION,CX600-X16A
SNW3MU,181.88.172.162,disp version | inc CX,VERSION,CX600-X8
IRD4MU,181.88.69.229,disp version | inc CX,VERSION,CX600-X16
RUF2MU,181.96.23.177,disp version | inc CX,VERSION,CX600-X8
VEN3MU,181.88.79.170,disp version | inc CX,VERSION,CX600-X8
SAM3MU,181.88.172.201,disp version | inc CX,VERSION,CX600-X16A
BGN4MU,181.96.61.10,disp version | inc CX,VERSION,CX600-X8
JUG2MU,181.88.69.151,disp version | inc CX,VERSION,CX600-X8
BUA4MU,181.88.69.136,disp version | inc CX,VERSION,CX600-X8
TGR3MU,181.88.172.138,disp version | inc CX,VERSION,CX600-X8
RCU4MU,181.96.23.221,disp version | inc CX,VERSION,CX600-X8A
CDU3MU,181.96.23.248,disp version | inc CX,VERSION,CX600-X8
ELP2MU,181.88.172.9,disp version | inc CX,VERSION,CX600-X8
SRA2MU,181.88.172.144,disp version | inc CX,VERSION,CX600-X8
HIP3MU,181.88.69.171,disp version | inc CX,VERSION,CX600-X8
BEL4MU,181.88.172.133,disp version | inc CX,VERSION,CX600-X8
RET5MU,181.88.172.79,disp version | inc CX,VERSION,CX600-X16A
OMB2MU,181.88.172.19,disp version | inc CX,VERSION,CX600-X8
REM2MU,181.88.172.13,disp version | inc CX,VERSION,CX600-X8
GAR2MU,181.88.172.184,disp version | inc CX,VERSION,CX600-X8
LUG2MU,181.88.172.136,disp version | inc CX,VERSION,CX600-X8
MUN4MU,181.88.172.183,disp version | inc CX,VERSION,CX600-X16
CHU2MU,181.88.172.16,disp version | inc CX,VERSION,CX600-X8
VMR2MU,181.88.172.145,disp version | inc CX,VERSION,CX600-X8
PRS4MU,181.96.23.155,disp version | inc CX,VERSION,CX600-X16A
TNQ1MU,181.88.172.220,disp version | inc CX,VERSION,CX600-X8A
OLV3MU,181.88.172.146,disp version | inc CX,VERSION,CX600-X16
WHE3MU,181.88.69.225,disp version | inc CX,VERSION,CX600-X8
PAR3MU,181.88.69.226,disp version | inc CX,VERSION,CX600-X16
PKL3MU,181.88.172.179,disp version | inc CX,VERSION,CX600-X8
VBO2MU,181.88.172.33,disp version | inc CX,VERSION,CX600-X8
RAF3MU,181.88.79.134,disp version | inc CX,VERSION,CX600-X8
DEV3MU,181.88.172.73,disp version | inc CX,VERSION,CX600-X8A
MUS4MU,181.88.79.24,disp version | inc CX,VERSION,CX600-X16A
PZU3MU,181.88.79.205,disp version | inc CX,VERSION,CX600-X8
STI2MU,181.88.79.133,disp version | inc CX,VERSION,CX600-X8
SST2MU,181.88.79.180,disp version | inc CX,VERSION,CX600-X8A
SNI3MU,181.96.23.145,disp version | inc CX,VERSION,CX600-X8
RET6MU,181.88.172.58,disp version | inc CX,VERSION,CX600-X16A
GLF4MU,181.88.172.59,disp version | inc CX,VERSION,CX600-X16A
BAL4MU,181.88.172.80,disp version | inc CX,VERSION,CX600-X16A
CLI4MU,181.88.172.51,disp version | inc CX,VERSION,CX600-X16
PRX1MU,181.88.172.191,disp version | inc CX,VERSION,CX600-X8
PAT4MU,181.88.172.74,disp version | inc CX,VERSION,CX600-X8A
RIV2MU,181.88.172.189,disp version | inc CX,VERSION,CX600-X8A
